SAMPLE ID,00_ctr-2,03_ctr-n3,14_ctr-6,83_ctr-n1,28_als-n1,30_als-n1,29_als-n1,52_als-n6
GPD2,3.01563,1.33499,3.4941,1.78782,2.17871,0.795002,2.94845,2.93417
GPER,0.903235,0.409781,0.933269,0.660839,1.2121,0.307509,1.32256,0.953342
GPHA2,0.0395191,0,0,0.170609,0,0.099806,0.04854,0
GPHB5,0,0.0524254,0.0625521,0,0,0,0,0
GPHN,9.39255,10.3786,13.3258,8.46479,13.5716,11.4431,12.9729,12.548
GPI,148.639,63.4246,143.841,116.603,177.561,76.3551,162.392,143.724
GPKOW,9.36077,6.39943,8.52411,7.45394,10.0025,6.43191,10.438,10.2752
GPLD1,1.53374,2.10966,2.59274,1.71544,2.26914,1.84087,2.2631,1.99496
GPM6A,48.3097,70.5251,56.2671,41.0795,105.136,124.015,79.4586,87.7885
GPM6B,158.792,61.3125,219.305,208.817,139.442,163.946,122.69,106.109
GPN1,25.208,14.7109,25.4996,22.2011,24.2614,14.049,26.1677,29.5525
GPN2,11.5737,10.1803,11.0691,10.0648,13.0925,12.6563,12.5347,13.6384
GPN3,7.4193,4.55169,6.16725,7.87716,8.20866,5.03627,7.67064,10.1121
GPNMB,0.33521,0.87228,0.482158,3.44746,0.509588,0.300151,0.238,0.440779
GPR1,0.716849,0.108956,0.837491,0.792131,0.920778,0.177212,0.695652,0.210948
GPR101,0.0966625,0.0372162,0.244228,0.0208653,0.0807492,0.0488245,0.118727,0.0366982
GPR107,22.544,17.994,22.4418,23.7324,25.2063,20.7724,22.8344,29.5782
GPR108,14.7888,16.6299,13.9467,14.135,15.8981,12.2343,16.8547,15.9531
GPR110,0.0420513,0.122402,0.0482325,0.0225762,0.0578452,0.0560257,0,0.0199823
GPR111,0.0178087,0.0732212,0.0205265,0.0190946,0.0418083,0.0482296,0.0363876,0.0467529
GPR112,0,0,0.00341388,0.00320827,0.0124161,0.00500487,0.00365113,0.0112855
GPR113,0.161995,0.142356,0.142579,0.243155,0.12732,0.142333,0.185247,0.144687
